"Fecha Hora","Fecha Hora(RAW)","Trafico suma (volumen)","Trafico suma (volumen)(RAW)","Trafico suma (velocidad)","Trafico suma (velocidad)(RAW)","Trafico in (volumen)","Trafico in (volumen)(RAW)","Trafico in (velocidad)","Trafico in (velocidad)(RAW)","Trafico out (volumen)","Trafico out (volumen)(RAW)","Trafico out (velocidad)","Trafico out (velocidad)(RAW)","Downtime","Downtime(RAW)","Cobertura","Cobertura(RAW)"
"20.08.2018 06:00:00 PM - 07:00:00 PM","43333.0000000000","197,929,224 KByte","202679525717.2220","450,435 kbit/s","56304403.8873","170,519,330 KByte","174611794078.7892","388,057 kbit/s","48507183.6561","27,409,894 KByte","28067731638.4328","62,378 kbit/s","7797220.2312","0 %","0.0000","100 %","0000009999"
"20.08.2018 07:00:00 PM - 08:00:00 PM","43333.0416666667","184,273,559 KByte","188696124577.5326","419,360 kbit/s","52419958.4903","161,395,409 KByte","165268899118.0734","367,295 kbit/s","45911853.5206","22,878,150 KByte","23427225459.4591","52,065 kbit/s","6508104.9697","0 %","0.0000","100 %","0000009999"
"20.08.2018 08:00:00 PM - 09:00:00 PM","43333.0833333333","154,484,918 KByte","158192555728.8103","351,568 kbit/s","43946038.7612","125,210,575 KByte","128215629149.6423","284,947 kbit/s","35618420.7433","29,274,342 KByte","29976926579.1680","66,621 kbit/s","8327618.0179","0 %","0.0000","100 %","0000009999"
"20.08.2018 09:00:00 PM - 10:00:00 PM","43333.1250000000","88,944,078 KByte","91078735557.4204","202,415 kbit/s","25301897.8235","74,951,791 KByte","76750634381.9593","170,572 kbit/s","21321515.9075","13,992,286 KByte","14328101175.4611","31,843 kbit/s","3980381.9160","0 %","0.0000","100 %","0000009999"
"20.08.2018 10:00:00 PM - 11:00:00 PM","43333.1666666667","7,526,568 KByte","7707205410.2349","17,129 kbit/s","2141086.6580","5,440,660 KByte","5571236170.0426","12,382 kbit/s","1547707.4760","2,085,907 KByte","2135969240.1923","4,747 kbit/s","593379.1820","0 %","0.0000","100 %","0000009999"
"20.08.2018 11:00:00 PM - 12:00:00 AM","43333.2083333333","2,677,521 KByte","2741781324.9660","6,093 kbit/s","761673.6279","1,638,336 KByte","1677655652.0105","3,728 kbit/s","466056.8862","1,039,185 KByte","1064125672.9556","2,365 kbit/s","295616.7418","0 %","0.0000","100 %","0000009999"
"21.08.2018 12:00:00 AM - 01:00:00 AM","43333.2500000000","3,218,251 KByte","3295488674.9118","7,324 kbit/s","915494.8981","2,524,669 KByte","2585261040.3265","5,746 kbit/s","718191.9060","693,582 KByte","710227634.5853","1,578 kbit/s","197302.9921","0 %","0.0000","100 %","0000009999"
"21.08.2018 01:00:00 AM - 02:00:00 AM","43333.2916666667","2,544,610 KByte","2605680973.6389","5,791 kbit/s","723870.6468","2,374,586 KByte","2431576205.6664","5,404 kbit/s","675503.5089","170,024 KByte","174104767.9726","387 kbit/s","48367.1379","0 %","0.0000","100 %","0000009999"
"21.08.2018 02:00:00 AM - 03:00:00 AM","43333.3333333333","2,983,149 KByte","3054744929.2752","6,789 kbit/s","848608.6183","2,838,564 KByte","2906689771.6255","6,460 kbit/s","807478.8724","144,585 KByte","148055157.6497","329 kbit/s","41129.7459","0 %","0.0000","100 %","0000009999"
"21.08.2018 03:00:00 AM - 04:00:00 AM","43333.3750000000","2,245,126 KByte","2299008737.2339","5,109 kbit/s","638663.2119","1,955,707 KByte","2002643771.1274","4,451 kbit/s","556333.2068","289,419 KByte","296364966.1065","659 kbit/s","82330.0051","0 %","0.0000","100 %","0000009999"
