"Fecha Hora","Fecha Hora(RAW)","Trafico suma (volumen)","Trafico suma (volumen)(RAW)","Trafico suma (velocidad)","Trafico suma (velocidad)(RAW)","Trafico in (volumen)","Trafico in (volumen)(RAW)","Trafico in (velocidad)","Trafico in (velocidad)(RAW)","Trafico out (volumen)","Trafico out (volumen)(RAW)","Trafico out (velocidad)","Trafico out (velocidad)(RAW)","Downtime","Downtime(RAW)","Cobertura","Cobertura(RAW)"
"06.01.2019 11:00:00 PM - 12:00:00 AM","43472.2083333333","","","","","","","","","","","","","","","0 %","0000000000"
"07.01.2019 12:00:00 AM - 01:00:00 AM","43472.2500000000","1,319,367 KByte","1351032169.4527","2,974 kbit/s","371697.7653","1,193,416 KByte","1222057487.3235","2,690 kbit/s","336214.0794","125,952 KByte","128974682.1292","284 kbit/s","35483.6859","0 %","0.0000","100 %","0000010000"
"07.01.2019 01:00:00 AM - 02:00:00 AM","43472.2916666667","1,284,354 KByte","1315178334.9740","2,923 kbit/s","365355.7318","1,070,904 KByte","1096605547.7777","2,437 kbit/s","304636.3461","213,450 KByte","218572787.1963","486 kbit/s","60719.3857","0 %","0.0000","100 %","0000009999"
"07.01.2019 02:00:00 AM - 03:00:00 AM","43472.3333333333","1,543,575 KByte","1580621220.1169","3,513 kbit/s","439095.6019","1,418,579 KByte","1452625257.6490","3,228 kbit/s","403538.4023","124,996 KByte","127995962.4680","284 kbit/s","35557.1996","0 %","0.0000","100 %","0000009999"
"07.01.2019 03:00:00 AM - 04:00:00 AM","43472.3750000000","1,815,469 KByte","1859040749.4511","4,131 kbit/s","516434.6372","1,682,544 KByte","1722924828.2280","3,829 kbit/s","478622.1382","132,926 KByte","136115921.2230","302 kbit/s","37812.4990","0 %","0.0000","100 %","0000009999"
"07.01.2019 04:00:00 AM - 05:00:00 AM","43472.4166666667","1,101,302 KByte","1127733493.7045","2,506 kbit/s","313280.1892","965,618 KByte","988792595.9573","2,197 kbit/s","274682.9222","135,684 KByte","138940897.7472","309 kbit/s","38597.2670","0 %","0.0000","100 %","0000009999"
"07.01.2019 05:00:00 AM - 06:00:00 AM","43472.4583333333","1,022,858 KByte","1047407051.2473","2,328 kbit/s","290969.8424","906,068 KByte","927813417.3072","2,062 kbit/s","257746.7122","116,791 KByte","119593633.9402","266 kbit/s","33223.1302","0 %","0.0000","100 %","0000009999"
"07.01.2019 06:00:00 AM - 07:00:00 AM","43472.5000000000","25,709,761 KByte","26326795622.1085","58,509 kbit/s","7313587.9341","21,701,413 KByte","22222247398.6975","49,387 kbit/s","6173343.7968","4,008,348 KByte","4104548223.4110","9,122 kbit/s","1140244.1373","0 %","0.0000","100 %","0000009999"
"07.01.2019 07:00:00 AM - 08:00:00 AM","43472.5416666667","72,016,352 KByte","73744744700.6708","163,889 kbit/s","20486130.8596","60,904,797 KByte","62366511905.2983","138,602 kbit/s","17325282.3552","11,111,555 KByte","11378232795.3725","25,287 kbit/s","3160848.5044","0 %","0.0000","100 %","0000009999"
"07.01.2019 08:00:00 AM - 09:00:00 AM","43472.5833333333","93,725,224 KByte","95974629759.7060","213,293 kbit/s","26661618.9991","78,751,773 KByte","80641815331.4540","179,217 kbit/s","22402184.4226","14,973,452 KByte","15332814428.2520","34,075 kbit/s","4259434.5766","0 %","0.0000","100 %","0000009999"
